"id","name","inn","opf_short","name_full_with_opf","ca_type","branch_type","ogrn","ogrn_date","fio_surname","fio_name","fio_patronymic","management_post","management_disqualified","management_name","email","address_full","address","status","actuality_date","registration_date","liquidation_date","is_archived","description","group_name"
11,АГЕНТСТВО РУССПРОМОЦЕНКА,"7717153980",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГЕНТСТВО ""РУССПРОМОЦЕНКА""",LEGAL,MAIN,"1157746013952",2015-01-10 03:00:00.000,,,,Генеральный директор,,Васильцов Сергей Владимирович,,"109263, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТЕКСТИЛЬЩИКИ, УЛ ШКУЛЁВА, Д. 2А","г Москва, ул Шкулёва, д 2А",ACTIVE,2023-03-15 03:00:00.000,2015-01-10 03:00:00.000,,false,autoloaded by counteragentcreate.py,
12,АКТИОН-ПРЕСС,"7702272022",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИОН-ПРЕСС""",LEGAL,MAIN,"1027700161554",2002-08-27 03:00:00.000,,,,Генеральный директор,,Козлова Елена Николаевна,,"123022, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ, ПЕР 1-Й ЗЕМЕЛЬНЫЙ, Д. 1, ЭТАЖ 10, КОМ. 1001","г Москва, 1-й Земельный пер, д 1, ком 1001, 1001",ACTIVE,2023-03-27 03:00:00.000,1999-12-02 03:00:00.000,,false,autoloaded by counteragentcreate.py,
13,АЛЬЯНС,"7725837350",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬЯНС""",LEGAL,MAIN,"1147746868279",2014-07-31 03:00:00.000,,,,Генеральный директор,,Потапов Игорь Николаевич,,"115280, ГОРОД МОСКВА, УЛ. МАСТЕРКОВА, Д. 6, КОМ. 10","г Москва, ул Мастеркова, д 6, ком 10",ACTIVE,2017-05-11 03:00:00.000,2014-07-31 03:00:00.000,,false,autoloaded by counteragentcreate.py,
14,АНО ЦЕНТР ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ПРОЛЕТАРСКИЙ,"7709980970",АНО,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ПРОЛЕТАРСКИЙ""",LEGAL,MAIN,"1167700073738",2016-11-21 03:00:00.000,,,,Директор,,Чебаненко Евгений Станиславович,,"117105, ГОРОД МОСКВА, Ш. ВАРШАВСКОЕ, Д. 33, ЭТ/ПОМ/КОМ 15/XVII/16","г Москва, Варшавское шоссе, д 33, помещ XVII ком 16",ACTIVE,2022-11-17 03:00:00.000,2016-11-21 03:00:00.000,,false,autoloaded by counteragentcreate.py,
15,БИЗНЕС НЬЮС МЕДИА,"7712108141",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЗНЕС НЬЮС МЕДИА""",LEGAL,MAIN,"1027739124775",2002-08-29 03:00:00.000,,,,Генеральный директор,,Нелюбин Михаил Владимирович,,"127018, Г.Москва, УЛ. ПОЛКОВАЯ, Д. 3, СТР. 1, ПОМЕЩ. I, ЭТАЖ 2, КОМНАТА 21","г Москва, ул Полковая, д 3 стр 1, помещ I ком 21",ACTIVE,2023-01-10 03:00:00.000,1999-08-09 03:00:00.000,,false,autoloaded by counteragentcreate.py,
16,ПОЧТА РОССИИ,"7724490000",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОЧТА РОССИИ""",LEGAL,MAIN,"1197746000000",2019-10-01 03:00:00.000,,,,Генеральный директор,,Волков Михаил Юрьевич,,"125252, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ХОРОШЕВСКИЙ, УЛ 3-Я ПЕСЧАНАЯ, Д. 2А","г Москва, ул 3-я Песчаная, д 2А",ACTIVE,2023-03-27 03:00:00.000,2019-10-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
17,АРХАНГЕЛЬСКГЕОЛРАЗВЕДКА,"2901290394",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРХАНГЕЛЬСКГЕОЛРАЗВЕДКА""",LEGAL,MAIN,"1182901011083",2018-02-13 03:00:00.000,,,,Генеральный директор,,Подлевских Андрей Валерьевич,,"163001, Архангельская область, Г. АРХАНГЕЛЬСК, УЛ. УРИЦКОГО, Д. 47, ОФИС 510","г Архангельск, ул Урицкого, д 47, офис 510",ACTIVE,2022-12-22 03:00:00.000,2018-02-13 03:00:00.000,,false,autoloaded by counteragentcreate.py,
18,АРХИТЕКТУРНО-ДИЗАЙНЕРСКОЕ БЮРО АУРУМ,"7727822542",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНО-ДИЗАЙНЕРСКОЕ БЮРО ""АУРУМ""",LEGAL,MAIN,"5137746198740",2013-12-16 03:00:00.000,,,,Генеральный директор,,Кальницкая Елена Леонидовна,,"117036, ГОРОД МОСКВА, УЛ. ШВЕРНИКА, Д. 4, СТР. 2, ЭТ 13 ПОМ I КОМ 1304А","г Москва, ул Шверника, д 4 стр 2, помещ I ком 1304А",ACTIVE,2018-09-18 03:00:00.000,2013-12-16 03:00:00.000,,false,autoloaded by counteragentcreate.py,
19,АССОЦИАЦИЯ САМОРЕГУЛИРУЕМАЯ ОРГАНИЗАЦИЯ ОБЪЕДИНЕНИЕ СТРОИТЕЛЕЙ ОБЪЕКТОВ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА НЕФТЕГАЗСТРОЙ-АЛЬЯНС,"7709443527",Ассоциация,"АССОЦИАЦИЯ САМОРЕГУЛИРУЕМАЯ ОРГАНИЗАЦИЯ ""ОБЪЕДИНЕНИЕ СТРОИТЕЛЕЙ ОБЪЕКТОВ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА ""НЕФТЕГАЗСТРОЙ-АЛЬЯНС""",LEGAL,MAIN,"1097799033870",2009-12-01 03:00:00.000,,,,Генеральный директор,,Ходус Андрей Александрович,,"107045, ГОРОД МОСКВА, ПЕР. АНАНЬЕВСКИЙ, Д.5, К.3","г Москва, Ананьевский пер, д 5 стр 3",ACTIVE,2018-11-28 03:00:00.000,2009-12-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
20,АСТРАХАНСКИЕ ТЕПЛОВЫЕ СЕТИ,"3019019321",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРАХАНСКИЕ ТЕПЛОВЫЕ СЕТИ""",LEGAL,MAIN,"1163443069130",2016-07-01 03:00:00.000,,,,,,,,"414052, Астраханская область, Г.О. ГОРОД АСТРАХАНЬ, Г АСТРАХАНЬ, УЛ АВГУСТОВСКАЯ, СТР. 11В/2, ОФИС 22","414052, Астраханская область, Г.О. ГОРОД АСТРАХАНЬ, Г АСТРАХАНЬ, УЛ АВГУСТОВСКАЯ, СТР. 11В/2, ОФИС 22",ACTIVE,2023-04-17 03:00:00.000,2016-07-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
21,АУ АСТРАХАНСКОЙ ОБЛАСТИ МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ,"3015080614",ГАУ,"АВТОНОМНОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ""",LEGAL,MAIN,"1073015005843",2007-11-07 03:00:00.000,,,,Директор,,Хасанова Диляра Растямовна,,"414014, Астраханская область, Г. АСТРАХАНЬ, УЛ. БАБЕФА, СТР 8","г Астрахань, ул Бабефа, стр 8",ACTIVE,2023-04-06 03:00:00.000,2007-11-07 03:00:00.000,,false,autoloaded by counteragentcreate.py,
22,Бабич Михаил Вячеславович,"290103914584",ИП,Индивидуальный предприниматель Бабич Михаил Вячеславович,INDIVIDUAL,,"317290100027204",2017-07-21 03:00:00.000,Бабич,Михаил,Вячеславович,,,,,"ОБЛАСТЬ АРХАНГЕЛЬСКАЯ, ГОРОД АРХАНГЕЛЬСК",г Архангельск,ACTIVE,2022-11-28 03:00:00.000,2017-07-21 03:00:00.000,,false,autoloaded by counteragentcreate.py,
23,БЕРКАТ,"7707409601",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕРКАТ""",LEGAL,MAIN,"1187746207956",2018-02-27 03:00:00.000,,,,Генеральный директор,,Анискин Павел Александрович,,"117342, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КОНЬКОВО, УЛ БУТЛЕРОВА, Д. 17Б, ЭТАЖ/ПОМЕЩЕНИЕ 2/XI, КОМНАТА/РМ 58/114","117342, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КОНЬКОВО, УЛ БУТЛЕРОВА, Д. 17Б, ЭТАЖ/ПОМЕЩЕНИЕ 2/XI, КОМНАТА/РМ 58/114",ACTIVE,2022-08-26 03:00:00.000,2018-02-27 03:00:00.000,,false,autoloaded by counteragentcreate.py,
24,БИЗНЕС АЙ ТИ,"7709782632",НАО,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЗНЕС АЙ ТИ""",LEGAL,MAIN,"1087746318880",2008-03-05 03:00:00.000,,,,Генеральный директор,,Щеглов Кирилл Николаевич,,"111033, Г.Москва, ПР-Д ТАМОЖЕННЫЙ, Д. 6, СТР. 3, ОФИС 302","г Москва, Таможенный проезд, д 6 стр 3, офис 302",ACTIVE,2023-03-23 03:00:00.000,2008-03-05 03:00:00.000,,false,autoloaded by counteragentcreate.py,
25,БИЗНЕС ПОДАРКИ,"5009120277",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕС ПОДАРКИ""",LEGAL,MAIN,"1195027015952",2019-07-22 03:00:00.000,,,,Генеральный директор,,Согулев Александр Владимирович,,"142033, Московская область, Г. ДОМОДЕДОВО, ТЕР ПРОМ. ЗОНА ЖИТНЕВО (Пром. зона Житнево тер), ПЛОЩАДКА 1, СТР. 2Б, ЭТАЖ 2 ПОМЕЩЕНИЕ 26","142033, Московская область, Г. ДОМОДЕДОВО, ТЕР ПРОМ. ЗОНА ЖИТНЕВО (Пром. зона Житнево тер), ПЛОЩАДКА 1, СТР. 2Б, ЭТАЖ 2 ПОМЕЩЕНИЕ 26",ACTIVE,2023-04-04 03:00:00.000,2019-07-22 03:00:00.000,,false,autoloaded by counteragentcreate.py,
26,Богданова Елена Анатольевна,"231517713565",ИП,Индивидуальный предприниматель Богданова Елена Анатольевна,INDIVIDUAL,,"306231511700032",2006-04-27 03:00:00.000,Богданова,Елена,Анатольевна,,,,,"Край Краснодарский, Город Новороссийск, Село Цемдолина","Краснодарский край, г Новороссийск, село Цемдолина",ACTIVE,2019-01-10 03:00:00.000,2006-04-27 03:00:00.000,,false,autoloaded by counteragentcreate.py,
27,БФ ИСПОЛНЕНИЕ МЕЧТЫ,"1660258946",БФ,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ИСПОЛНЕНИЕ МЕЧТЫ""",LEGAL,MAIN,"1151690105082",2015-12-09 03:00:00.000,,,,Директор,,Хисамова Эльмира Курбангалиевна,,"420129, Республика Татарстан (Татарстан), Г.О. ГОРОД КАЗАНЬ, Г КАЗАНЬ, УЛ САЛИХА БАТЫЕВА, Д. 19, ПОМЕЩ. 1001","г Казань, ул Салиха Батыева, д 19, помещ 1001",ACTIVE,2023-03-09 03:00:00.000,2015-12-09 03:00:00.000,,false,autoloaded by counteragentcreate.py,
28,ВИЛЛОРЕ,"9715430537",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЛЛОРЕ""",LEGAL,MAIN,"1227700681295",2022-10-20 03:00:00.000,,,,Генеральный директор,,Черкашин Дмитрий Михайлович,,"127273, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ОТРАДНОЕ, ПРОЕЗД СИГНАЛЬНЫЙ, Д. 16, СТР. 19, ЭТАЖ/ПОМЕЩ./КОМ./ОФИС 1/I/51/1","127273, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ОТРАДНОЕ, ПРОЕЗД СИГНАЛЬНЫЙ, Д. 16, СТР. 19, ЭТАЖ/ПОМЕЩ./КОМ./ОФИС 1/I/51/1",ACTIVE,2022-12-29 03:00:00.000,2022-10-20 03:00:00.000,,false,autoloaded by counteragentcreate.py,
29,ВИНСМЕТА,"7709345449",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИНСМЕТА""",LEGAL,MAIN,"1037739252110",2003-01-28 03:00:00.000,,,,Генеральный директор,,Дзирне Илья Вячеславович,,"109044, ГОРОД МОСКВА, УЛ. КРУТИЦКИЙ ВАЛ, Д. 3, КВ. 274","г Москва, ул Крутицкий Вал, д 3, кв 274",ACTIVE,2018-10-17 03:00:00.000,2001-05-22 03:00:00.000,,false,autoloaded by counteragentcreate.py,
30,ВОЛГОГРАДГОРГАЗ,"3434000560",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГОГРАДГОРГАЗ""",LEGAL,MAIN,"1023403434010",2002-09-26 03:00:00.000,,,,Генеральный директор,,Сидоров Александр Николаевич,,"400005, ОБЛАСТЬ ВОЛГОГРАДСКАЯ, Г. ВОЛГОГРАД, УЛ. КОММУНИСТИЧЕСКАЯ, Д. 38","г Волгоград, ул Коммунистическая, д 38",ACTIVE,2022-11-13 03:00:00.000,1995-03-23 03:00:00.000,,false,autoloaded by counteragentcreate.py,
31,ВОЛГОГРАДОБЛЭЛЕКТРО,"3443029580",ПАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГОГРАДОБЛЭЛЕКТРО""",LEGAL,MAIN,"1023402971272",2002-09-04 03:00:00.000,,,,Генеральный директор,,Змановская Ирина Михайловна,,"400075, Волгоградская область, Г. ВОЛГОГРАД, УЛ. ИМ. ШОПЕНА, Д.13","г Волгоград, ул им. Шопена, д 13",ACTIVE,2023-02-27 03:00:00.000,1995-11-16 03:00:00.000,,false,autoloaded by counteragentcreate.py,
32,ВОЛГОГРАДСКИЕ МЕЖРАЙОННЫЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ,"3459076049",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГОГРАДСКИЕ МЕЖРАЙОННЫЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ""",LEGAL,MAIN,"1183443005778",2018-04-05 03:00:00.000,,,,Генеральный директор,,Рыбин Алексей Александрович,,"400017, ОБЛАСТЬ ВОЛГОГРАДСКАЯ, Г. ВОЛГОГРАД, УЛ. ИМ. АДМИРАЛА УШАКОВА, Д. 11, ОФИС 201","г Волгоград, ул им. адмирала Ушакова, д 11, офис 201",ACTIVE,2021-11-03 03:00:00.000,2018-04-05 03:00:00.000,,false,autoloaded by counteragentcreate.py,
33,ВОЛГОГРАДЭНЕРГОСБЫТ,"3445071523",ПАО,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГОГРАДЭНЕРГОСБЫТ""",LEGAL,MAIN,"1053444090028",2005-01-01 03:00:00.000,,,,Генеральный директор,,Кауль Дмитрий Михайлович,,"400001, ОБЛАСТЬ ВОЛГОГРАДСКАЯ, Г. ВОЛГОГРАД, УЛ. КОЗЛОВСКАЯ, Д.14","г Волгоград, ул Козловская, д 14",ACTIVE,2022-11-02 03:00:00.000,2005-01-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
34,Вуколова Елена Александровна,"231500674685",ИП,Индивидуальный предприниматель Вуколова Елена Александровна,INDIVIDUAL,,"304231510300283",2004-04-12 03:00:00.000,Вуколова,Елена,Александровна,,,,,"Край Краснодарский, Город Новороссийск","Краснодарский край, г Новороссийск",ACTIVE,2020-04-07 03:00:00.000,1998-07-20 03:00:00.000,,false,autoloaded by counteragentcreate.py,
35,ВЦ ЭЛИАС,"7715883131",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЦ ЭЛИАС""",LEGAL,MAIN,"1117746727262",2011-09-15 03:00:00.000,,,,Генеральный директор,,Орехов Игорь Евгеньевич,,"127276, Г.Москва, ПР-Д МАРФИНСКИЙ, Д. 4, ПОМЕЩ. 21;ЭТ.2","г Москва, Марфинский проезд, д 4, помещ 21",ACTIVE,2022-12-29 03:00:00.000,2011-09-15 03:00:00.000,,false,autoloaded by counteragentcreate.py,
36,ВЫМПЕЛ-КОММУНИКАЦИИ,"7713076301",ПАО,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫМПЕЛ-КОММУНИКАЦИИ""",LEGAL,MAIN,"1027700166636",2002-08-28 03:00:00.000,,,,Генеральный директор,,Торбахов Александр Юрьевич,,"127083, Г.Москва, УЛ. 8 МАРТА, Д. 10, СТР. 14","г Москва, ул 8 Марта, д 10 стр 14",ACTIVE,2023-02-27 03:00:00.000,1993-07-28 03:00:00.000,,false,autoloaded by counteragentcreate.py,
37,ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ СЫКТЫВКАР,"1101300468",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ СЫКТЫВКАР""",LEGAL,MAIN,"1021100517822",2002-11-13 03:00:00.000,,,,Генеральный директор,,Курлыгин Павел Александрович,,"167000, Республика Коми, Г.О. СЫКТЫВКАР, Г СЫКТЫВКАР, УЛ КРАСНЫХ ПАРТИЗАН, СТР. 33","г Сыктывкар, ул Красных Партизан, стр 33",ACTIVE,2022-08-09 03:00:00.000,1993-07-22 03:00:00.000,,false,autoloaded by counteragentcreate.py,
38,ГАЗПРОМ МЕЖРЕГИОНГАЗ ВОЛГОГРАД,"3445045202",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ ВОЛГОГРАД""",LEGAL,MAIN,"1023403844441",2002-09-27 03:00:00.000,,,,Генеральный директор,,Гаранин Олег Евгеньевич,,"400001, ОБЛАСТЬ ВОЛГОГРАДСКАЯ, Г. ВОЛГОГРАД, УЛ. КОВРОВСКАЯ, Д.13","г Волгоград, ул Ковровская, д 13",ACTIVE,2022-05-05 03:00:00.000,2000-02-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
39,ГАЗПРОМ МЕЖРЕГИОНГАЗ КРАСНОДАР,"2308070396",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ КРАСНОДАР""",LEGAL,MAIN,"1022301205662",2002-11-11 03:00:00.000,,,,Генеральный директор,,Нараев Геннадий Павлович,,"350000, Краснодарский край, Г. КРАСНОДАР, УЛ. ИМ. ЛЕНИНА, Д.40/1","г Краснодар, ул им. Ленина, д 40/1",ACTIVE,2022-11-30 03:00:00.000,2000-02-23 03:00:00.000,,false,autoloaded by counteragentcreate.py,
