"bic","name","correspondent_account","payment_city","inn","kpp","swift","registration_number","treasury_accounts","opf_type","address","status","actuality_date","registration_date","liquidation_date","is_archived","description"
"041806647",ВОЛГОГРАДСКОЕ ОТДЕЛЕНИЕ №8621 ПАО СБЕРБАНК,"30101810100000000647",г Волгоград,"7707083893","344402001","","1481/264","",BANK_BRANCH,"г Волгоград, ул Коммунистическая, д 40",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525700",АО «Райффайзенбанк»,"30101810200000000700",г Москва,"7744000302","770201001",RZBMRUMMXXX,"3292","",BANK,"г Москва, Смоленская-Сенная пл, д 28",ACTIVE,2023-04-17 03:00:00.000,1996-06-10 03:00:00.000,,false,autoloaded from bankcreate.py
"046015207","ФИЛИАЛ ""РОСТОВСКИЙ"" АО ""АЛЬФА-БАНК""","30101810500000000207",г Ростов-на-Дону,"7728168971","616343001","","1326/18","",BANK_BRANCH,"г Ростов-на-Дону, ул Красноармейская, д 206",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"004525988",УФК ПО Г. МОСКВЕ,"",г Москва,"","","","","40102810545370000003",TREASURY,"г Москва, ул 3-я Рощинская, д 3 стр 1",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525360","Филиал ""Корпоративный"" ПАО ""Совкомбанк""","30101810445250000360",г Москва,"4401116480","770343003",SOMRRUMMXXX,"963/10","",BANK_BRANCH,"г Москва, ул Вавилова, д 24",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525823",Банк ГПБ (АО),"30101810200000000823",г Москва,"7744001497","772801001",GAZPRUMMXXX,"354","",BANK,"г Москва, ул Намёткина, д 16 к 1",ACTIVE,2023-04-17 03:00:00.000,1992-01-23 03:00:00.000,,false,autoloaded from bankcreate.py
"044525341",АКБ «ФОРА-БАНК» (АО),"30101810300000000341",г Москва,"7704113772","770401001",FOJSRUMMXXX,"1885","",BANK,"г Москва, Зубовский б-р, д 25",ACTIVE,2023-04-17 03:00:00.000,1992-05-27 03:00:00.000,,false,autoloaded from bankcreate.py
"044525745",Филиал № 7701 Банка ВТБ (ПАО),"30101810345250000745",г Москва,"7702070139","770943003",VTBRRUM2MS3,"1000/97","",BANK_BRANCH,"г Москва, ул Кузнецкий Мост, д 17 стр 1",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525460",АО «Экспобанк»,"30101810345250000460",г Москва,"7708397772","770801001",EXPNRUMMXXX,"2998","",BANK,"г Москва, ул Каланчевская, д 29 стр 2",ACTIVE,2023-04-17 03:00:00.000,1994-07-27 03:00:00.000,,false,autoloaded from bankcreate.py
"047102651",ЗАПАДНО-СИБИРСКОЕ ОТДЕЛЕНИЕ№8647 ПАО СБЕРБАНК,"30101810800000000651",г Тюмень,"7707083893","720302020",SABRRUMMTN1,"1481/1597","",BANK_BRANCH,"г Тюмень, ул Рижская, д 61",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525225",ПАО Сбербанк,"30101810400000000225",г Москва,"7707083893","773601001",SABRRUMM012,"1481","",BANK,"г Москва, ул Вавилова, д 19",ACTIVE,2023-04-17 03:00:00.000,1991-06-20 03:00:00.000,,false,autoloaded from bankcreate.py
"044525976",АКБ «Абсолют Банк» (ПАО),"30101810500000000976",г Москва,"7736046991","770201001",ABSLRUMMXXX,"2306","",BANK,"г Москва, Цветной б-р, д 18",ACTIVE,2023-04-17 03:00:00.000,1993-04-22 03:00:00.000,,false,autoloaded from bankcreate.py
"046014327","ФИЛИАЛ ""РОСТОВСКИЙ"" АО ""ОТП БАНК""","30101810660140000327",г Гуково,"7708001614","614443001","","2766/9","",BANK_BRANCH,"Ростовская обл, г Гуково, ул Красная Горка, д 3",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"010349101",УФК по Краснодарскому краю,"",г Краснодар,"","","","","40102810945370000010",TREASURY,"г Краснодар, ул Карасунская, д 155",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"011203901",УФК по Астраханской области,"",г Астрахань,"","","","","40102810445370000017",TREASURY,"г Астрахань, ул Латышева, д 6Г",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525860",«Республиканский Кредитный Альянс» ООО,"30101810945250000860",г Москва,"7734052439","770901001",RCACRUMMXXX,"3017","",BANK,"г Москва, ул Воронцовская, д 13/14 стр 1",ACTIVE,2023-04-17 03:00:00.000,1994-08-03 03:00:00.000,,false,autoloaded from bankcreate.py
"046577906","УРАЛЬСКИЙ ФИЛИАЛ АО ""РАЙФФАЙЗЕНБАНК""","30101810100000000906",г Екатеринбург,"7744000302","667102001","","3292/2","",BANK_BRANCH,"г Екатеринбург, ул Красноармейская, стр 10",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"045773790",АО КБ «Урал ФД»,"30101810800000000790",г Пермь,"5902300072","590201001",JSCORU4PXXX,"249","",BANK,"г Пермь, ул Ленина, д 64",ACTIVE,2023-04-17 03:00:00.000,1991-12-27 03:00:00.000,,false,autoloaded from bankcreate.py
"044030704",Ф. ОПЕРУ БАНКА ВТБ (ПАО) В САНКТ-ПЕТЕРБУРГЕ,"30101810200000000704",г Санкт-Петербург,"7702070139","783543011",VTBRRUM2NWR,"1000/74","",BANK_BRANCH,"г Санкт-Петербург, Дегтярный пер, д 11 литера а",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525201",ПАО АКБ «АВАНГАРД»,"30101810000000000201",г Москва,"7702021163","770501001",AVJSRUMMXXX,"2879","",BANK,"г Москва, ул Большая Якиманка, д 1",ACTIVE,2023-04-17 03:00:00.000,1994-06-09 03:00:00.000,,false,autoloaded from bankcreate.py
"044525256",ПАО РОСБАНК,"30101810000000000256",г Москва,"7730060164","770801001",RSBNRUMMXXX,"2272","",BANK,"г Москва, ул Маши Порываевой, д 34",ACTIVE,2023-04-17 03:00:00.000,1993-03-02 03:00:00.000,,false,autoloaded from bankcreate.py
"048717785","""Северный Народный Банк"" (АО) Ф-л в г. Ухта","30101810000000000785",г Ухта,"1101300820","110202001","","2721/1","",BANK_BRANCH,"Респ Коми, г Ухта, пр-кт Ленина, д 1",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"007162163",УФК по Ханты-Мансийскому автономному округу-Югре,"",г Ханты-Мансийск,"","","","","40102810245370000007",TREASURY,"г Ханты-Мансийск, ул Карла Маркса, д 12",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525974",АО «Тинькофф Банк»,"30101810145250000974",г Москва,"7710140679","771301001",TICSRUMMXXX,"2673","",BANK,"г Москва, ул Хуторская 2-я, д 38А стр 26",ACTIVE,2023-04-17 03:00:00.000,1994-01-28 03:00:00.000,,false,autoloaded from bankcreate.py
"044525545",АО ЮниКредит Банк,"30101810300000000545",г Москва,"7710030411","770401001",IMBKRUMMXXX,"1","",BANK,"г Москва, Пречистенская наб, д 9",ACTIVE,2023-04-17 03:00:00.000,1991-11-15 03:00:00.000,,false,autoloaded from bankcreate.py
"040349700","ФИЛИАЛ ""ЮЖНЫЙ"" ПАО ""БАНК УРАЛСИБ""","30101810400000000700",г Краснодар,"0274062111","231043001","","2275/60","",BANK_BRANCH,"г Краснодар, ул Красная, д 152",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525220","Центральный филиал АБ ""РОССИЯ""","30101810145250000220",г Москва,"7831000122","775143001","","328/15","",BANK_BRANCH,"г Москва, поселение Сосенское, поселок Газопровод, д 101 к 5",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"042202824","ФИЛИАЛ ""НИЖЕГОРОДСКИЙ"" АО ""АЛЬФА-БАНК""","30101810200000000824",г Нижний Новгород,"7728168971","526002001","","1326/1","",BANK_BRANCH,"г Нижний Новгород, ул Белинского, д 61",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"041806715","ЮЖНЫЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""","30101810100000000715",г Волгоград,"7744000912","344443002",PRMSRUMMVGG,"3251/15","",BANK_BRANCH,"г Волгоград, ул им. маршала Чуйкова, д 65А",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"046577517","Филиал ""Уральский"" АО КБ ""Солидарность""","30101810065770000517",г Екатеринбург,"6316028910","668543001","","554/12","",BANK_BRANCH,"г Екатеринбург, ул Белинского, стр 55",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525801",ООО «Бланк банк»,"30101810645250000801",г Москва,"6027006032","770401001",VSTARUMMXXX,"2368","",BANK,"г Москва, Варшавское шоссе, д 9 стр 1",ACTIVE,2023-04-17 03:00:00.000,1993-06-01 03:00:00.000,,false,autoloaded from bankcreate.py
"040349781","Ф-Л БАНКА ГПБ (АО) ""ЮЖНЫЙ""","30101810500000000781",г Краснодар,"7744001497","231043001",GAZPRUMM007,"354/2","",BANK_BRANCH,"г Краснодар, ул Дмитриевская Дамба, д 11",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"024501901",Межрегиональное операционное УФК,"",г Москва,"","","","","40102810045370000002",TREASURY,"г Москва, ул Верхняя Радищевская, д 11 стр 1",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525297","Филиал Центральный ПАО Банка ""ФК Открытие""","30101810945250000297",г Москва,"7706092528","770543003",RUDLRUMMXXX,"2209/42","",BANK_BRANCH,"г Москва, ул Спартаковская, д 5 стр 1",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"046577674",УРАЛЬСКИЙ БАНК ПАО СБЕРБАНК,"30101810500000000674",г Екатеринбург,"7707083893","667102008",SABRRUMMEA1,"1481/366","",BANK_BRANCH,"г Екатеринбург, ул Куйбышева, стр 67",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"041203602",АСТРАХАНСКОЕ ОТДЕЛЕНИЕ N8625 ПАО СБЕРБАНК,"30101810500000000602",г Астрахань,"7707083893","301502001","","1481/112","",BANK_BRANCH,"г Астрахань, ул Кирова, д 41",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525411","Филиал ""Центральный"" Банка ВТБ (ПАО)","30101810145250000411",г Москва,"7702070139","770943002",VTBRRUM2MS2,"1000/81","",BANK_BRANCH,"г Москва, ул Рождественка, д 10/2 стр 1",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"017003983",УФК по Тульской области,"",г Тула,"","","","","40102810445370000059",TREASURY,"г Тула, ул Сойфера, д 18",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"048073949","ФИЛИАЛ ""БАШКОРТОСТАН"" АО КБ ""СИТИБАНК""","30101810280730000949",г Уфа,"7710401987","027543001","","2557/7","",BANK_BRANCH,"г Уфа, ул Ленина, д 31/33",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525999","Точка ПАО Банка ""ФК Открытие""","30101810845250000999",г Москва,"7706092528","770543002","","2209/50","",BANK_BRANCH,"г Москва, ул Верхняя Радищевская, д 2/1 стр 3",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"046015061","ФИЛИАЛ ЮЖНЫЙ ПАО БАНКА ""ФК ОТКРЫТИЕ""","30101810560150000061",г Ростов-на-Дону,"7706092528","616543003",JSNMRUMMRND,"2209/48","",BANK_BRANCH,"г Ростов-на-Дону, ул Текучева, д 234",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525593",АО «АЛЬФА-БАНК»,"30101810200000000593",г Москва,"7728168971","770801001",ALFARUMMXXX,"1326","",BANK,"г Москва, ул Каланчевская, д 27",ACTIVE,2023-04-17 03:00:00.000,1991-01-03 03:00:00.000,,false,autoloaded from bankcreate.py
"044525787",ПАО «БАНК УРАЛСИБ»,"30101810100000000787",г Москва,"0274062111","770401001",AVTBRUMMXXX,"2275","",BANK,"г Москва, ул Ефремова, д 8",ACTIVE,2023-04-17 03:00:00.000,1993-01-28 03:00:00.000,,false,autoloaded from bankcreate.py
"042007681",ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНЫЙ БАНК ПАО СБЕРБАНК,"30101810600000000681",г Воронеж,"7707083893","366402001",SABRRUMMVH1,"1481/314","",BANK_BRANCH,"г Воронеж, ул 9 Января, д 28",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"011117401",УФК по Архангельской области и Ненецкому автономному округу,"",г Архангельск,"","","","","40102810045370000016",TREASURY,"г Архангельск, ул Карла Либкнехта, д 2",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525555",ПАО «Промсвязьбанк»,"30101810400000000555",г Москва,"7744000912","772201001",PRMSRUMMXXX,"3251","",BANK,"г Москва, ул Смирновская, д 10 стр 22",ACTIVE,2023-04-17 03:00:00.000,1995-05-12 03:00:00.000,,false,autoloaded from bankcreate.py
"044030861",АО «АБ „РОССИЯ“,"30101810800000000861",г Санкт-Петербург,"7831000122","784201001",ROSYRU2PXXX,"328","",BANK,"г Санкт-Петербург, пл Растрелли, д 2 литера а",ACTIVE,2023-04-17 03:00:00.000,1991-12-29 03:00:00.000,,false,autoloaded from bankcreate.py
"007182108",УФК  ПО ЯМАЛО-НЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ,"",г Салехард,"","","","","40102810145370000008",TREASURY,"г Салехард, ул Республики, влд 43",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"041117601",АРХАНГЕЛЬСКОЕ ОТДЕЛЕНИЕ N 8637 ПАО СБЕРБАНК,"30101810100000000601",г Архангельск,"7707083893","290102001","","1481/88","",BANK_BRANCH,"г Архангельск, пр-кт Ломоносова, д 137",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"042282881","Ф-л Приволжский ПАО Банк ""ФК Открытие""","30101810300000000881",г Нижний Новгород,"7706092528","526002001",JSNMRUMMNNV,"2209/4","",BANK_BRANCH,"г Нижний Новгород, ул Ковалихинская, д 8",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"042202603",ВОЛГО-ВЯТСКИЙ БАНК ПАО СБЕРБАНК,"30101810900000000603",г Нижний Новгород,"7707083893","526002001",SABRRUMMNA1,"1481/937","",BANK_BRANCH,"г Нижний Новгород, ул Октябрьская, д 35",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525092","Московский Филиал АО КБ ""Модульбанк""","30101810645250000092",г Москва,"2204000595","771543001","","1927/6","",BANK_BRANCH,"г Москва, ул Новодмитровская, д 2 к 1",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525142","ф-л ПАО ""Банк ""Санкт-Петербург"" в г.Москве","30101810045250000142",г Москва,"7831000027","770643001","","436/19","",BANK_BRANCH,"г Москва, ул Большая Ордынка, д 40 стр 2",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
"044525202",АО КБ «Ситибанк»,"30101810300000000202",г Москва,"7710401987","771001001",CITIRUMXXXX,"2557","",BANK,"г Москва, ул Гашека, д 8-10 стр 1",ACTIVE,2023-04-17 03:00:00.000,1993-11-01 03:00:00.000,,false,autoloaded from bankcreate.py
"044525588",Джей энд Ти Банк (АО),"30101810845250000588",г Москва,"7713001271","770601001",TRRYRUMMXXX,"3061","",BANK,"г Москва, Кадашёвская наб, д 26",ACTIVE,2023-04-17 03:00:00.000,1994-09-21 03:00:00.000,,false,autoloaded from bankcreate.py
"044525503",АО «СМП Банк»,"30101810545250000503",г Москва,"7750005482","770501001",SMBKRUMMXXX,"3368","",BANK,"г Москва, ул Садовническая, д 71 стр 11",ACTIVE,2023-04-17 03:00:00.000,2001-04-11 03:00:00.000,,false,autoloaded from bankcreate.py
"045773001",ОТДЕЛЕНИЕ ПЕРМЬ БАНКА РОССИИ,,г Пермь,,,,,,OTHER,"г Пермь, ул Осинская, д 12",ACTIVE,2023-04-19 03:00:00.000,,,false,autoloaded from 1_bankcreate.py
"011806101",УФК по Волгоградской области,,г Волгоград,,,"","","40102810445370000021",TREASURY,"г Волгоград, ул Коммунистическая, д 28А",ACTIVE,2023-04-17 03:00:00.000,,,false,autoloaded from bankcreate.py
